npc_id	npc_name	npc_desc	npc_icon	map	npc_camp	story_name	Death_trigger	my_deck	my_rc	my_libraryorder	my_hand	my_battlefile	npc_deck	npc_rc	npc_libraryorder	npc_hand	npc_battlefile	npcAI_id	npc_sc	first_hand	reward_id	g_exp	g_cash	g_gem	g_sc	g_card	g_pack	g_deck
11	500	501	149	105	2	img_PuzzleBAS	10	104	5	1	2	10|140002	11	3	1	1	0	0	0	1	3010	720	30	0	0	440005#2	0	0
12	500	501	149	105	2	img_PuzzleBAS	11	105	4	1	3	3|140007	12	11	1	5	0	0	0	1	3011	780	30	0	0	140007#2	100#5	0
13	312	313	164	101	3	img_FirstAdventure	12	0	0	0	0	0	13	0	0	0	0	0	0	0	3012	840	20	0	0	50002#1	0	0
14	314	315	113	101	3	img_FirstAdventure	13	0	0	0	0	10|190014	14	0	0	0	16|140008#16|250000#11|140001#9|140001	0	0	0	3013	900	20	0	0	140002#2	0	0
15	316	317	171	101	3	img_FirstAdventure	14	0	0	0	0	0	15	0	0	0	0	0	0	0	3014	960	20	0	0	40002#1	0	0
16	318	319	113	101	3	img_FirstAdventure	15	0	0	0	0	0	16	0	0	0	0	0	0	0	3015	1020	20	0	0	240000#2	100#1	0
17	320	321	166	101	3	img_FirstAdventure	16	0	0	0	0	3|190014	17	0	0	0	10|110011#10|210006#15|110035#9|190003	0	0	0	3016	1080	20	0	0	10004#1	0	0
18	322	323	167	104	3	img_FirstAdventure	17	0	0	0	0	3|190014	18	0	0	0	9|140011#15|140021#15|210004#9|210003	0	0	0	3017	1140	20	0	0	10005#1	0	0
19	324	325	116	103	4	img_CursedRuins	18	0	0	0	0	0	19	0	0	0	16|140003	0	0	0	3018	1200	25	0	0	0	101#1	0
20	326	327	168	103	4	img_CursedRuins	19	0	0	0	0	0	20	0	0	0	9|140026#16|140026#14|140026	0	0	0	3019	1260	25	0	0	40004#1	0	0
21	328	329	131	105	4	img_CursedRuins	20	0	0	0	0	0	21	0	0	0	13|130027#18|130027	0	0	0	3020	1320	25	0	0	30002#1	0	0
22	330	331	134	105	4	img_CursedRuins	21	0	0	0	0	0	22	0	0	0	10|130030#18|130030#13|130030	0	0	0	3021	1380	25	0	0	30005#1	101#1	0
23	332	333	133	105	4	img_CursedRuins	22	0	0	0	0	0	23	0	0	0	15|130035#9|130015	0	0	0	3022	1440	25	0	0	30004#1	0	0
24	334	335	129	105	4	img_CursedRuins	23	0	0	0	0	0	24	0	0	0	9|130022#7|130022#13|130027#15|130003#15|220005	0	0	0	3023	1500	25	0	0	30003#1	0	0
25	336	337	141	104	5	img_FreedomCapital	24	0	0	0	0	0	25	0	0	0	0	0	0	0	3024	1560	30	0	0	40005#1	101#1	0
26	338	339	166	104	5	img_FreedomCapital	25	0	0	0	0	0	26	0	0	0	16|130007#14|130005	0	0	0	3025	1620	30	0	0	20002#1	0	0
27	340	341	159	102	5	img_FreedomCapital	26	0	0	0	0	0	27	0	0	0	0	0	0	0	3026	1680	30	0	0	40003#1	0	0
28	342	343	155	102	5	img_FreedomCapital	27	0	0	0	0	0	28	0	0	0	15|100005#15|260000	0	0	0	3027	1740	30	0	0	10003#1	101#1	0
29	344	345	109	102	5	img_FreedomCapital	28	0	0	0	0	0	29	0	0	0	15|150003#15|260001#9|150028	0	0	0	3028	1800	30	0	0	150028#1	0	0
30	346	347	126	102	5	img_FreedomCapital	29	0	0	0	0	0	30	0	0	0	9|110027#9|210004	0	0	0	3029	1860	30	0	0	110027#1	102#1	0
31	502	503	149	105	6	img_PuzzleNOV	30	106	1	1	-1	7|110031#8|110031#11|110031#12|110031	31	0	1	-1	0	0	0	2	3030	1920	40	0	0	110031#2	0	0
32	502	503	149	105	6	img_PuzzleNOV	31	107	1	1	-1	10|150010#9|140025#8|120027#11|110009	32	0	1	-1	16|120008#15|100013#14|120008#17|100013	0	0	2	3031	1980	80	0	0	0	0	0
33	502	503	149	105	6	img_PuzzleNOV	32	108	5	1	1	1|110003#2|110003#3|110017#4|110033#5|110003#6|110003	33	0	1	-1	14|110009#15|110009#16|110009#17|110009#18|110009#13|110009	0	0	2	3032	2040	40	0	0	330005#2	0	0
34	502	503	149	105	6	img_PuzzleNOV	33	109	5	1	1	2|190000#3|190000#4|190000#5|190000	34	0	1	-1	15|190000#16|190000#17|190000#14|190000	0	0	2	3033	2100	80	0	0	0	0	0
35	502	503	149	105	6	img_PuzzleNOV	34	110	0	1	-1	11|110035#2|140014	35	2	1	1	17|100005#14|100005#15|130011#10|140024	0	0	2	3034	2160	40	0	0	110035#2	0	0
36	502	503	149	105	6	img_PuzzleNOV	35	111	4	1	4	4|100016	36	0	1	-1	16|140028#15|140025#14|140036#9|200000	0	0	1	3035	2220	40	0	0	110007#1	0	0
37	350	351	169	105	7	img_DarknessForest	36	0	0	0	0	0	37	0	0	0	15|190020#16|100023#9|100023#17|100023#8|100023	0	0	0	3036	2280	40	0	0	100023#4	0	0
38	352	353	159	105	7	img_DarknessForest	37	0	0	0	0	0	38	0	0	0	16|140035#10|130005#14|130007#15|130007	0	0	0	3037	2340	40	0	0	0	101#1	0
39	354	355	172	105	7	img_DarknessForest	38	0	0	0	0	0	39	6	1	1	0	0	0	2	3038	2400	40	0	0	130023#1	0	0
40	356	357	131	105	7	img_DarknessForest	39	0	0	0	0	0	40	0	0	0	15|100020#15|230003#9|190003#17|190012#13|190015	0	0	0	3039	2460	40	0	0	230003#1	0	0
41	358	359	173	106	7	img_DarknessForest	40	0	0	0	0	0	41	4	1	-1	7|190023#8|190022#9|190022#10|190022#11|190022#12|190022#13|190021#18|190023#15|190021#16|190021	0	0	1	3040	2520	40	0	0	0	101#1	0
42	360	361	135	106	7	img_DarknessForest	41	0	0	0	0	0	42	0	0	0	10|130020#10|260002	0	0	0	3041	2580	40	0	0	130020#1	0	0
43	364	365	118	0	8	img_SecretFactory	42	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	366	367	0	0	8	img_SecretFactory	43	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	368	369	150	0	8	img_SecretFactory	44	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	370	371	0	0	8	img_SecretFactory	45	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	372	373	0	0	8	img_SecretFactory	46	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	374	375	0	0	8	img_SecretFactory	47	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	376	377	0	0	8	img_SecretFactory	48	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	504	505	149	105	9	img_PuzzleADV	49	112	4	1	4	3|150009	50	9	1	2	15|100013#17|150012	0	0	2	3512	0	40	0	0	0	0	0
51	504	505	149	105	9	img_PuzzleADV	50	113	3	1	4	5|100017	51	7	1	3	0	0	0	2	3513	0	40	0	0	0	0	0
52	504	505	149	105	9	img_PuzzleADV	51	114	0	1	0	0	52	0	1	0	0	0	0	1	3514	0	40	0	0	0	0	0
500	800	800	1	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	25	0	3600	0	0	0	0	0	0	0
501	801	801	2	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	47	0	3601	0	0	0	0	0	0	0
502	802	802	8	0	0	0	0	0	0	0	0	0	502	0	0	0	0	0	69	0	3602	0	0	0	0	0	0	0
503	803	803	3	0	0	0	0	0	0	0	0	0	503	0	0	0	0	0	91	0	3603	0	0	0	0	0	0	0
504	804	804	4	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	113	0	3604	0	0	0	0	0	0	0
505	805	805	9	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	135	0	3605	0	0	0	0	0	0	0
506	806	806	5	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	157	0	3606	0	0	0	0	0	0	0
507	807	807	6	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	386	0	3607	0	0	0	0	0	0	0
508	808	808	7	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	428	0	3608	0	0	0	0	0	0	0
509	809	809	8	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	470	0	3609	0	0	0	0	0	0	0
510	810	810	9	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	512	0	3610	0	0	0	0	0	0	0
511	811	811	10	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	554	0	3611	0	0	0	0	0	0	0
512	812	812	11	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0	668	0	3612	0	0	0	0	0	0	0
513	813	813	2	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	712	0	3613	0	0	0	0	0	0	0
514	814	814	5	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	723	0	3614	0	0	0	0	0	0	0
515	815	815	6	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0	775	0	3615	0	0	0	0	0	0	0
516	816	816	9	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	864	0	3616	0	0	0	0	0	0	0
517	817	817	7	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	1114	0	3617	0	0	0	0	0	0	0
518	818	818	6	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	1156	0	3618	0	0	0	0	0	0	0
519	819	819	5	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	1198	0	3619	0	0	0	0	0	0	0
520	820	820	12	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	1240	0	3620	0	0	0	0	0	0	0
521	821	821	13	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	1324	0	3621	0	0	0	0	0	0	0
522	822	822	14	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	1442	0	3622	0	0	0	0	0	0	0
523	823	823	4	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	1457	0	3623	0	0	0	0	0	0	0
524	824	824	3	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0	1469	0	3624	0	0	0	0	0	0	0
525	825	825	2	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	1482	0	3625	0	0	0	0	0	0	0
526	826	826	8	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	1511	0	3626	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
