id	text	shape	model	no_model	effect	legend	sacrifice	blink	race1	race2	race3	derive	type	version	qlt	cost	atk	health	class1	class2	team	finity	skill_id	keyword	position	usephase	ATK_PRI	DEF_PRI	ComeINAi	AiTar1
120021	120021	201	50011	0	0	0	0	0	2	0	0	0	1	1	2	5	1	6	1016		120021	4	8,1200211	8	11	1	7	0	2	0
120022	120022	201	50016	0	0	0	0	0	2	0	0	0	1	1	2	3	0	1	1050	1035	120022	4	1200221	221	11	1	7	0	2	0
120023	120023	201	50016	0	0	0	0	0	2	0	0	0	1	1	2	4	2	2	1004	1035	120023	4	1200231,1200232	224,210	11	1	7	0	2	2
120024	120024	201	50016	0	0	0	0	0	2	0	0	0	1	1	2	3	2	3	1003	1035	120024	4	1200241	0	11	1	7	0	2	0
120025	120025	201	50131	0	0	0	0	0	2	0	0	0	1	1	2	2	0	2	1023		120025	4	35,42,43	35	11	1	7	0	4	0
120026	120026	201	50016	0	0	0	0	0	2	0	0	0	1	1	2	5	2	5	1000	1035	120026	4	1200261	0	11	1	7	0	4	0
120027	120027	201	50053	0	0	0	0	0	2	2	0	0	1	1	2	5	5	6	1013		120027	4	8	8	11	1	7	0	2	0
120028	120028	201	50032	0	0	0	0	0	2	0	0	0	1	1	2	3	2	3	1022		120028	4	8,1200281	8	11	1	7	0	2	0
120029	120029	201	50050	0	0	0	0	0	2	2	2	0	1	1	3	6	6	6	1014	1035	120029	4	8,1200291	8,221	11	1	7	0	2	0
120030	120030	201	50016	0	0	0	0	0	2	0	0	0	1	1	3	4	0	1	1000	1035	120030	4	1200301	211	11	1	7	0	2	8
120031	120031	201	50032	0	0	0	0	0	2	0	0	0	1	1	3	5	6	7	1022		120031	4	8,1200311	8	11	1	7	0	2	0
120032	120032	201	50052	0	0	0	0	0	2	0	0	0	1	1	3	8	10	8	1015		120032	4	8	8	11	1	7	0	2	0
120033	120033	201	50016	0	0	0	0	0	2	0	0	0	1	5	3	4	3	4	1000	1035	120033	4	7	0	11	1	7	0	2	0
120034	120034	201	50016	0	0	1	0	0	2	2	0	0	1	1	4	5	1	6	1003	1035	120034	4	24,27,1200341	208,24,27	11	3	0	7	2	0
120035	120035	201	50076	0	0	0	0	0	2	0	0	0	1	1	1	2	1	2	1009		120035	4	1200351	0	11	1	6	0	4	0
120036	120036	201	50016	0	0	0	0	0	2	0	0	0	1	1	1	2	1	1	1000	1035	120036	4	1200361,1200362	0	11	1	6	0	4	0
120037	120037	201	50032	0	0	0	0	0	2	2	0	0	1	1	1	6	1	1	1022		120037	4	8,1200371,1200373	8,211	11	1	6	0	4	0
120038	120038	201	50016	0	0	0	0	0	2	2	0	0	1	1	1	5	2	2	1000	1035	120038	4	1200381	211	11	1	6	0	4	0
120039	120039	201	50053	0	0	0	0	0	2	0	0	0	1	1	1	4	2	4	1013		120039	4	1200391	8,221	11	1	6	0	4	0
120040	120040	201	50026	0	0	1	0	0	2	2	0	0	1	5	4	7	3	3	1000	1035	120040	4	1200401,1200402	208,211	11	1	6	0	4	0
130000	130000	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	1	2	1	1020	1032	130000	4	1300001	212	11	1	9	0	4	0
130001	130001	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	3	3	3	1018		130001	4	1300011,1300012	211	11	1	9	0	2	0
130002	130002	301	50097	0	0	0	0	0	3	0	0	0	1	1	1	1	3	2	1009		130002	4	1300021	211	11	1	9	0	2	0
130003	130003	301	50058	0	0	0	0	0	3	3	0	0	1	1	2	3	2	3	1051	1044	130003	4	1300031	224	11	1	7	0	2	0
130004	130004	301	50099	0	0	0	0	0	3	0	0	0	1	1	1	3	4	2	1051	1039	130004	4	1300041	211	11	1	7	0	2	1
130005	130005	300	50059	0	0	0	0	0	3	0	0	0	1	1	1	3	2	3	1051	1039	130005	4	18	18	11	1	9	0	2	0
130006	130006	300	50060	0	0	0	0	0	3	0	0	0	1	1	1	3	4	1	1051	1044	130006	4	1300061	212	11	1	9	0	2	0
130007	130007	300	50102	0	0	0	0	0	3	0	0	0	1	1	1	3	2	4	1051	1040	130007	4	1300071	0	11	1	9	0	2	0
130008	130008	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	3	5	1	1019	1038	130008	4	1300081	212	11	1	9	0	2	0
130009	130009	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	3	2	2	1017		130009	4	1300091	211	11	1	9	0	2	0
130010	130010	300	50105	0	0	0	0	0	3	3	0	0	1	1	2	3	1	2	1051	1039	130010	4	12,18	12,18	11	1	9	0	2	0
130011	130011	300	50106	0	0	0	0	0	3	0	0	0	1	1	1	4	7	2	1051	1038	130011	4	0	0	11	1	9	0	2	0
130012	130012	300	50059	0	0	0	0	0	3	3	0	0	1	1	2	4	3	3	1051	1039	130012	4	1300121	211	11	1	7	0	2	8
130013	130013	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	5	3	2	1020	1038	130013	4	1300131	211	11	1	7	0	2	8
130014	130014	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	4	4	3	1020	1032	130014	4	1300141	0	11	1	9	0	2	0
130015	130015	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	6	3	8	1020	1038	130015	4	30	30	11	1	8	0	2	0
130016	130016	300	50144	0	0	0	0	0	3	0	0	0	1	1	1	6	8	5	1009		130016	4	0	0	11	1	9	0	2	0
130017	130017	301	50060	0	0	0	0	0	3	3	0	0	1	1	3	3	3	2	1017		130017	4	8,1300171	8	11	1	9	0	2	0
130018	130018	300	50059	0	0	0	0	0	3	3	0	0	1	1	3	6	4	4	1051	1038	130018	4	1300181	0	11	1	8	0	2	0
130019	130019	300	50058	0	0	0	0	0	3	0	0	0	1	1	3	3	2	1	1051	1044	130019	4	1300191	0	11	1	7	0	2	0
130020	130020	300	50144	0	0	0	0	0	3	3	0	0	1	1	3	7	1	9	1047	1035	130020	4	1300201,1300202,1300203,1300204	0	11	1	7	0	2	0
130021	130021	301	50144	0	0	0	0	0	3	3	0	0	1	1	3	5	6	9	1020	1038	130021	4	1300211	211	11	1	9	0	2	0
130022	130022	301	50057	0	0	0	0	0	3	3	0	0	1	1	3	3	1	1	1051	1037	130022	4	1300221	212	11	1	9	0	2	0
130023	130023	300	50118	0	0	0	0	0	3	3	0	0	1	1	4	7	6	6	1009		130023	4	1300231,1300232	0	11	1	8	0	2	0
130024	130024	301	50144	0	0	1	0	0	3	3	3	0	1	1	4	8	2	10	1047	1035	130024	4	18,1300241,1300242	208,18	11	1	7	0	2	0
130025	130025	301	50144	0	0	1	0	0	3	3	0	0	1	1	4	4	4	3	1019	1036	130025	4	10,12,44	208,10,12	31	1	7	0	2	0
130026	130026	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	1	1	1	1017	1032	130026	4	16	16	11	1	7	0	2	0
130027	130027	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	4	3	5	1019	1032	130027	4	1300271	0	11	1	7	0	2	0
130028	130028	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	5	2	6	1018	1037	130028	4	9,30	9,30	11	1	7	0	2	0
130029	130029	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	2	1	1	1018	1036	130029	4	1300291	0	11	1	7	0	2	0
130030	130030	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	3	2	2	1017	1036	130030	4	12,16	12,16	11	1	7	0	2	0
130031	130031	301	50144	0	0	0	0	0	3	0	0	0	1	1	2	2	4	2	1020	1032	130031	4	14,1300311	14	11	1	7	0	2	0
130032	130032	301	50144	0	0	0	0	0	3	0	0	0	1	1	2	4	3	2	1020		130032	4	1300321	211	11	1	7	0	2	0
130033	130033	301	50144	0	0	0	0	0	3	3	0	0	1	1	2	6	4	5	1019	1035	130033	4	1300331	211	11	1	7	0	2	0
130034	130034	301	50144	0	0	0	0	0	3	0	0	0	1	1	2	2	1	2	1009	1024	130034	4	10,8,16	10,8,16	31	1	7	0	2	0
130035	130035	301	50144	0	0	0	0	0	3	3	0	0	1	1	3	5	3	5	1018	1035	130035	4	8,30,1300351	8,30	11	1	7	0	2	0
130036	130036	301	50144	0	0	0	0	0	3	3	0	0	1	1	3	3	7	7	1017		130036	4	1300361	211	11	1	7	0	2	0
130037	130037	301	50144	0	0	0	0	0	3	3	3	0	1	1	4	8	6	6	1019	1014	130037	4	8,1300371	211,224	11	1	7	0	2	0
130038	130038	301	50144	0	0	0	0	0	3	0	0	0	1	1	3	3	2	3	1019	1035	130038	4	1300381	0	11	1	7	0	2	0
130039	130039	301	50144	0	0	0	0	0	3	0	0	0	1	1	1	1	2	2	1020	1032	130039	4	26	26	11	1	7	0	2	0
130040	130040	301	50144	0	0	0	0	0	3	0	0	0	1	1	2	4	2	2	1017		130040	4	1300401	221	11	1	7	0	2	0
130041	130041	301	50144	0	0	0	0	0	3	3	0	0	1	1	3	4	5	6	1017		130041	4	8,30,1300413,1300411,1300412	8,30	11	1	7	0	2	0
140000	140000	400	50041	0	0	0	0	0	4	0	0	0	1	1	1	1	1	1	1007	1040	140000	4	1400001	211	11	1	7	0	2	1
140001	140001	400	50042	0	0	0	0	0	4	0	0	0	1	1	1	2	2	1	1007	1032	140001	4	10	10	31	1	9	0	1	0
140002	140002	400	50043	0	0	0	0	0	4	0	0	0	1	1	1	2	1	2	1007	1032	140002	4	10,1400021	10	31	1	9	0	1	0
140003	140003	400	50044	0	0	0	0	0	4	0	0	0	1	1	1	2	1	3	1006	1041	140003	4	1400031,1400032	204,205	11	1	9	0	2	0
140004	140004	400	50045	0	0	0	0	0	4	0	0	0	1	1	1	3	2	2	1006	1038	140004	4	10,1400041	10,211	31	1	9	0	1	0
140005	140005	400	50046	0	0	0	0	0	4	0	0	0	1	1	1	3	2	1	1007	1032	140005	4	1400051	212	11	1	7	0	2	8
140006	140006	400	50047	0	0	0	0	0	4	0	0	0	1	1	1	4	4	4	1015		140006	4	15	15	11	1	9	0	2	0
140007	140007	400	50048	0	0	0	0	0	4	4	0	0	1	1	1	5	6	4	1015		140007	4	1400071	17	11	1	9	0	2	0
140008	140008	400	50049	0	0	0	0	0	4	4	0	0	1	1	1	5	5	4	1007	1032	140008	4	1400081,14	14	11	1	9	0	2	0
140009	140009	400	50050	0	0	0	0	0	4	4	0	0	1	1	2	6	6	5	1014		140009	4	8,1400091	8,17	11	1	9	0	2	0
140010	140010	400	50052	0	0	0	0	0	4	4	0	0	1	1	2	3	1	5	1015		140010	4	1400101,1400102	221	11	1	7	0	2	0
140011	140011	400	50051	0	0	0	0	0	4	4	0	0	1	1	2	6	6	5	1011		140011	4	1400111	210	11	1	8	0	2	8
140012	140012	400	50053	0	0	0	0	0	4	4	0	0	1	1	2	6	5	5	1014		140012	4	8,1400121	8	11	1	9	0	2	0
140013	140013	400	50054	0	0	0	0	0	4	0	0	0	1	1	2	4	4	2	1015		140013	4	1400131	211	11	1	7	0	2	8
140014	140014	400	50055	0	0	0	0	0	4	4	0	0	1	1	3	7	7	6	1031		140014	4	12,1400141	12,210	11	1	9	0	2	1
140015	140015	400	50056	0	0	0	0	0	4	4	0	0	1	1	3	5	3	3	1027	1038	140015	4	10,1400151	10	31	1	9	0	1	0
140016	140016	400	50057	0	0	0	0	0	4	4	0	0	1	1	3	4	3	1	1051	1038	140016	4	10,12,1400161	10,12,211	31	1	9	0	1	0
140017	140017	400	50058	0	0	0	0	0	4	4	0	0	1	1	3	4	4	3	1051	1044	140017	4	12,1400171,1400172	12	11	1	9	0	2	0
140018	140018	400	50059	0	0	0	0	0	4	4	0	0	1	1	3	3	1	1	1051	1038	140018	4	13,1400181	13	11	1	9	0	2	0
140019	140019	400	50060	0	0	0	0	0	4	4	0	0	1	1	3	4	3	2	1051	1044	140019	4	12,1400191	12	11	1	9	0	2	0
140020	140020	400	50063	0	0	1	0	0	4	4	0	0	1	1	4	7	5	6	1051	1044	140020	4	1400201,1400202,1400203	208,223,13	11	1	7	0	2	0
140021	140021	400	50062	0	0	0	0	0	4	0	0	0	1	1	2	2	3	3	1007		140021	4	1400211	0	11	1	9	0	2	0
140022	140022	400	50061	0	0	1	0	0	4	4	0	0	1	1	4	7	7	4	1030	1025	140022	4	12,1400221,1400222	208,12,221	11	1	7	0	2	0
140023	140023	104	50042	0	0	0	0	0	4	0	0	0	1	1	1	0	1	1	1007	1032	140023	4	0	0	11	1	7	0	1	0
140024	140024	104	50043	0	0	0	0	0	4	0	0	0	1	1	1	2	3	2	1007	1032	140024	4	0	0	11	1	7	0	1	0
140025	140025	104	50043	0	0	0	0	0	4	0	0	0	1	1	2	1	2	1	1031	1032	140025	4	1400251	212	11	1	7	0	1	0
140026	140026	104	50045	0	0	0	0	0	4	0	0	0	1	1	2	1	1	1	1006	1038	140026	4	11	11	11	1	7	0	1	0
140027	140027	104	50059	0	0	0	0	0	4	4	0	0	1	1	2	2	2	2	1051	1038	140027	4	1400271	0	11	1	7	0	1	0
140028	140028	104	50009	0	0	0	0	0	4	0	0	0	1	1	2	3	2	2	1031	1009	140028	4	1400281,1400282	212	11	1	7	0	1	0
140029	140029	104	50044	0	0	0	0	0	4	0	0	0	1	1	2	2	2	2	1051	1041	140029	4	1400291	211	11	1	7	0	1	0
140030	140030	104	50053	0	0	0	0	0	4	0	0	0	1	1	1	2	0	2	1014		140030	4	8,1400301	8,221	11	1	7	0	1	0
140031	140031	104	50051	0	0	0	0	0	4	0	0	0	1	1	2	1	2	1	1011		140031	4	1400311	0	11	1	7	0	1	0
140032	140032	104	50060	0	0	0	0	0	4	0	0	0	1	1	2	3	2	3	1031	1035	140032	4	1400321,1400322	204,205	11	1	7	0	1	0
140033	140033	104	50055	0	0	0	0	0	4	0	0	0	1	1	2	4	3	3	1031		140033	4	11	11	11	1	7	0	1	0
140034	140034	104	50044	0	0	0	0	0	4	0	0	0	1	1	2	4	2	2	1000	1037	140034	4	1400341	210	11	1	7	0	1	0
140035	140035	104	50059	0	0	0	0	0	4	0	0	0	1	1	3	3	2	2	1051	1038	140035	4	1400351	0	11	1	7	0	1	0
140036	140036	104	50059	0	0	0	0	0	4	4	0	0	1	1	3	5	3	3	1051	1038	140036	4	11,1400361	11,223	11	1	7	0	1	0
140037	140037	104	50055	0	0	0	0	0	4	4	0	0	1	1	3	3	1	3	1031		140037	4	1400371	210	11	1	7	0	1	8
140038	140038	104	50053	0	0	0	0	0	4	4	0	0	1	1	3	6	4	4	1014		140038	4	8,23	8,23	11	1	7	0	1	0
140039	140039	104	50054	0	0	0	0	0	4	4	4	0	1	1	3	5	7	1	1031	1015	140039	4	10,14,1400391	10,14	31	1	7	0	1	0
140040	140040	104	50055	0	0	0	0	0	4	4	4	0	1	1	4	6	5	7	1031		140040	4	8,1400401	8,221	11	1	7	0	1	0
140041	140041	104	50099	0	0	0	0	0	4	0	0	0	1	1	1	2	1	1	1051	1038	140041	4	1400411	0	11	1	7	0	1	0
