skill_id	runtime	condition	area	cost	last	type	fcamp	ftarget	fselect	fs_arg	farg	frepeat	nextskill	skillicon	effect_id
300052	1	102	4	0	1	1	1	1	9	0	3,1	1	1	0	0
300061	2	31	4	4	1	4	1	1	9	0	40,1	1	0	0	100664,1
400021	1	30	4	2	1	1	3	2	8	0	3,-1	1	0	0	100520,1
400031	1	30	4	2	1	1	2	1	9	0	3,-1	1	0	0	100520,1
400041	1	30	4	2	1	1	3	2	8	0	1,1	1	0	0	100594,1
400051	1	30	4	4	2	1	1	2	9	0	1,2,1	1	0	0	100594,3
400061	2	30	4	4	1	4	1	1	9	0	40,1	1	0	0	100664,4
500021	1	30	4	2	2	1	3	2	8	0	1,1,1#2,1,1	1	0	0	100643,1
500031	1	30	4	2	2	10	1	2	8	0	43,1,1#42,1,1	1	0	0	100643,1
500041	1	30	4	3	1	1	3	2	8	0	1,1#2,1	1	0	0	100643,1
500051	1	30	4	5	1	2	1	6	12	0	0	1	500052	0	0
500052	1	102	4	0	0	6	1	6	9	0	4,6	1	0	0	0
500061	2	30	4	4	1	4	1	1	9	0	40,1	1	0	0	100664,1
900071	1	30	4	0	1	3	1	7	8	17,1	21,190005	1	0	0	0
900081	1	30	4	3	1	1	2	1	9	0	3,-1	1	900082	0	100588,2
900082	1	102	4	0	1	1	2	2	9	18,1	3,-1	1	0	0	0
900091	1	30	4	4	1	1	2	1	9	0	3,-4	1	0	0	100583,1
900101	1	30	4	4	1	3	1	7	8	17,1	21,190002	1	0	0	0
900111	1	30	4	1	1	1	3	2	8	18,1	3,-2	1	0	0	100521,1
900121	1	31	4	3	1	1	2	3	9	0	3,-2	1	0	0	100574,1
900131	1	31	4	3	1	1	1	2	9	35,1	1,1#2,1	1	0	0	100643,3
900141	1	30	4	4	1	6	1	8	8	22,2	4,6	1	0	0	100643,3
900151	1	30	4	3	1	10	1	2	8	0	44,1	1	900152	0	0
900152	1	102	4	0	1	5	1	2	8	0	41,1	1	0	0	100674,1
900161	1	30	4	4	1	1	1	1	9	0	3,3	1	900162	0	0
900162	1	102	4	0	1	4	1	1	9	0	40,1	1	0	0	100664,1
900171	1	30	4	2	1	6	2	6	9	0	4,10	1	0	0	100552,5
900181	1	30	4	2	1	1	3	2	8	0	1,-1#45,-1	1	0	0	100666,1
900191	1	30	4	3	1	5	3	2	8	9,1	41,1	1	0	0	100674,1
900201	1	30	4	2	2	1	3	2	8	0	1,1,1	1	900202	0	0
900202	1	102	4	0	2	10	3	2	8	0	13,1,1	1	0	0	100594,1
900211	1	30	4	1	1	1	1	2	8	0	3,1	1	0	0	0
1000011	1	1	7	0	3	1	3	2	10	1,1030	1,1#2,1	1	0	0	0
1000021	1	3	7	0	1	4	3	11	9	0	40,1	1	0	100	100591,4
1000031	1	11	7	0	1	1	1	4	0	0	1,3,1	1	0	101	100591,4
1000061	1	27	7	0	1	1	1	4	0	0	1,-1#45,-1	1	0	101	100591,4
1000081	1	3	7	0	1	1	2	3	9	4,1	3,-4	1	0	100	100576,1
1000101	1	3	7	0	1	1	1	1	9	0	3,4	1	0	100	100591,4
1000111	1	6	7	0	1	1	1	4	0	0	3,999	1	0	101	0
1000121	1	31	7	8	1	1	1	4	0	0	1,8#2,8	1	0	100	100591,4
1000141	1	27	7	0	1	4	1	11	9	0	40,1	1	0	101	100591,4
1000151	1	28	7	0	1	1	2	2	9	0	3,-1	1	0	101	100609,2
1000181	1	53	7	0	1	4	3	11	9	0	40,1	1	0	101	100591,4
1000191	1	53	7	0	1	11	1	1	9	0	33,1	1	0	101	100591,4
1000201	1	53	7	0	1	6	1	8	12	4,1	4,1	1	0	101	100670,4
1000211	1	53	7	0	1	1	1	1	9	0	3,-2	1	0	101	100520,1
1000212	1	55	7	0	1	1	2	1	9	0	3,-2	1	0	101	100520,1
1000221	1	53	7	0	2	10	2	2	9	4,1	43,1,2	1	0	101	100644,1
1100011	1	1	7	0	3	1	1	4	0	0	6,1	1	0	3	0
1100021	1	41	7	0	3	1	1	4	0	0	1,1#2,1	1	0	0	0
1100031	1	2	7	0	2	1	3	2	8	0	1,2,1	1	0	0	100645,1
1100041	1	27	7	0	1	1	1	1	0	0	3,1	1	0	101	100569,4
1100051	1	2	7	0	1	1	3	2	8	0	6,1	1	0	0	100645,1
1100061	1	1	7	0	3	1	1	2	10	1,1032	2,1	1	0	0	0
1100071	1	2	7	0	1	10	3	2	8	0	39,1	1	0	0	100579,1
1100081	1	1	7	0	3	1	1	2	10	1,1032	1,1	1	0	0	0
1100101	1	2	7	0	1	1	1	1	0	0	3,2	1	0	0	100569,4
1100121	1	33	7	0	1	3	1	7	9	0	21,190000	1	0	101	100591,4
1100131	1	2	7	0	2	1	1	2	9	0	1,1,1#2,1,1	1	0	0	100645,3
1100151	1	1	7	0	3	1	1	2	10	31,1	1,1#2,1	1	0	0	0
1100161	1	1	7	0	3	10	1	2	10	1,1032	12,1	1	0	0	0
1100171	1	25	7	0	1	1	1	2	9	0	3,1	1	0	101	100569,4
1100181	1	1	7	0	3	1	1	4	0	0	6,1	1	0	3	0
1100191	1	1	7	0	3	1	1	4	0	0	6,1	1	0	3	0
1100201	1	31	7	1	1	5	3	2	8	18,1	41,1	1	1100202	1	100521,1
1100202	1	102	7	1	1	5	1	4	9	0	41,1	1	0	0	0
1100211	1	26	7	0	1	1	1	2	9	0	1,1#2,1	1	0	101	100645,3
1100221	1	1	7	0	3	1	1	2	9	1,1032	6,2	1	0	0	0
1100222	1	2	7	0	1	3	1	7	9	0	21,190000	3	0	0	100591,4
1100231	1	11	7	0	1	6	1	8	15	4,1	4,10	1	0	101	100591,4
1100241	1	1	7	0	3	1	1	2	10	0	1,2#2,2	1	0	0	0
1100251	1	2	7	0	2	10	1	3	9	0	29,9999,1	1	0	0	100611,2
1100261	1	1	7	0	3	10	1	4	0	0	28,2	1	0	2	0
1100271	1	1	7	0	3	10	1	4	0	0	29,9999	1	0	0	0
1100272	1	1	7	0	3	10	1	4	0	0	28,1	1	0	2	0
1100281	1	2	7	0	1	1	3	3	8	0	3,2	1	0	0	100569,1
1100291	1	30	7	0	1	1	3	2	8	0	2,1,1	1	0	1	100645,1
1100301	1	27	7	0	1	1	1	4	9	0	3,1	1	0	101	0
1100311	1	26	7	0	1	1	1	4	9	0	1,1#2,1	1	0	101	100645,1
1100321	1	46	7	0	1	4	1	11	0	0	40,1	1	0	101	100591,4
1100331	1	46	7	0	1	1	1	4	9	0	1,1#2,1	1	0	101	100645,1
1100341	1	2	7	0	1	6	1	8	8	22,3	4,1	1	0	0	100591,4
1100351	1	30	7	0	1	1	3	2	8	18,1	3,-2	1	0	1	100535,1
1100361	1	38	7	0	1	4	1	11	0	0	40,1	1	0	101	100591,4
1100371	1	1	7	0	3	10	3	2	9	0	49,1	1	0	0	0
1100381	1	46	7	0	1	3	1	7	9	0	21,190000	1	0	101	100591,4
1100421	1	2	7	0	1	1	1	3	9	0	3,1	1	0	0	100569,1
1100431	1	2	7	0	1	6	1	2	8	0	4,10	1	0	0	100552,1
1200011	1	30	7	1	1	6	2	6	9	0	4,3	2	0	1	100552,5
1200031	1	3	7	0	1	4	1	11	0	0	40,1	1	0	100	100591,4
1200041	1	2	7	0	1	4	1	11	0	0	40,1	1	0	0	100591,4
1200051	1	2	7	0	1	6	3	2	8	0	4,1	1	0	0	100552,1
1200061	1	33	7	0	1	4	1	11	0	0	40,1	1	0	101	100546,4
1200071	1	1	7	0	3	10	1	4	0	0	28,2	1	0	2	0
1200081	1	31	7	3	1	6	1	4	0	0	4,1	1	0	1	100546,4
1200101	1	30	7	0	1	1	3	2	8	0	1,-2,1	1	0	1	100319,1
1200111	1	1	7	0	3	10	1	4	0	0	28,2	1	0	2	0
1200131	1	1	7	0	3	10	1	4	0	0	28,2	1	0	2	0
1200141	1	35	7	0	1	1	1	2	9	32,1	1,1,1#2,1,1	1	0	101	100644,3
1200151	1	33	7	0	1	1	2	2	9	0	1,-1	1	0	101	100644,3
1200152	1	31	7	2	1	6	1	4	0	0	4,1	1	0	1	100546,4
1200161	1	2	7	0	5	2	3	2	9	0	0	1	1200162	0	100591,4
1200162	1	101	7	0	0	4	1	11	9	0	40,1	-1	0	0	100664,1
1200171	1	2	7	0	1	6	2	2	9	4,2	4,1	1	0	0	100552,1
1200172	1	31	7	3	1	6	1	4	0	0	4,1	1	0	1	100546,4
1200191	1	2	7	0	1	10	3	2	8	0	8,1	1	0	0	100653,1
1200201	1	2	7	0	1	6	3	2	8	0	4,18	1	0	0	100552,1
1200211	1	49	7	0	1	1	1	4	0	0	1,1	1	0	101	100644,1
1200221	1	31	7	3	1	4	1	11	0	0	40,1	1	0	1	100591,4
1200231	2	30	7	1	1	10	3	2	8	32,1	24,1	1	0	1	100644,1
1200232	1	1	7	0	3	1	1	2	10	32,1	1,1#2,1	1	0	0	0
1200241	1	49	7	0	1	6	2	6	9	0	4,3	1	0	101	100591,4
1200261	1	5	7	0	1	6	2	6	9	0	4,3	1	0	101	100591,4
1200281	1	31	7	1	1	6	1	4	0	0	4,1	1	0	1	100546,4
1200291	1	31	7	3	1	1	1	4	0	0	1,1#2,1	1	1200292	1	100546,4
1200292	1	102	7	0	1	4	1	11	0	0	40,1	1	0	0	100664,1
1200301	1	2	7	0	1	17	3	2	8	0	0	1	0	0	100654,1
1200311	1	11	7	0	1	4	2	11	0	0	40,1	1	0	0	100591,4
1200341	1	33	7	0	1	6	2	6	9	0	4,10	1	1200342	101	100552,5
1200342	1	102	7	0	1	4	1	11	0	0	40,1	1	0	0	100664,1
1200351	1	16	7	0	1	1	1	4	0	0	2,3,1	1	0	101	100591,4
1200361	1	36	7	0	1	1	1	4	0	0	1,1#2,1	1	0	101	100546,4
1200362	1	37	7	0	1	1	1	4	0	0	1,1#2,1	1	0	0	100546,4
1200371	1	2	7	0	5	2	1	8	13	0	0	1	1200372	0	0
1200372	1	101	7	0	0	1	1	4	0	0	1,$#2,$	1	0	0	100591,4
1200373	1	2	7	0	5	2	1	8	14	0	0	1	1200374	0	0
1200374	1	101	7	0	0	1	1	4	0	0	1,$#2,$	1	0	0	100591,4
1200381	1	2	7	0	1	6	1	8	8	22,5	4,1	1	0	0	100591,4
1200391	1	31	7	4	1	1	2	2	9	0	1,-1	1	1200392	1	100319,3
1200392	1	102	7	0	1	5	1	4	9	0	41,1	1	0	0	0
1200401	1	2	7	0	1	0	1	1	9	0	0	1	1200402	0	100591,4
1200402	1	2	7	0	1	1	1	4	0	0	22,190017	1	0	0	100654,1
1300001	1	3	7	0	1	1	2	2	9	4,1	1,-1#45,-1	1	0	100	100666,1
1300011	1	2	7	0	1	1	2	1	9	0	3,-2	1	0	0	100540,6
1300012	1	2	7	0	1	1	1	1	9	0	3,2	1	0	0	0
1300021	1	2	7	0	1	1	1	1	0	0	3,-3	1	0	0	100666,1
1300031	1	1	7	0	3	1	1	2	10	33,1	1,1#2,1	1	0	0	0
1300041	1	2	7	0	2	1	3	2	8	0	1,-1,1#45,-1,1	1	0	0	100666,1
1300061	1	3	7	0	1	4	2	11	9	4,1	40,2	1	0	100	100666,5
1300071	1	11	7	0	1	1	2	1	9	0	3,-1	1	0	101	100666,1
1300081	1	45	7	0	1	3	1	4	1	0	21,190011	1	0	100	100647,4
1300091	1	2	7	0	1	6	2	11	9	4,1	4,16	1	0	0	100670,5
1300121	1	2	7	0	1	1	3	2	8	0	1,-3#45,-3	1	0	0	100666,1
1300131	1	2	7	0	1	5	3	2	8	30,1#31,1#32,1#34,1#35,1	41,1	1	0	0	100674,1
1300141	1	11	7	0	1	1	2	1	9	0	3,-2	1	0	101	100666,1
1300171	1	33	7	0	1	4	2	11	0	4,1	40,2	1	0	101	100666,5
1300181	1	27	7	0	1	1	3	2	9	30,1#31,1#32,1#34,1#35,1	1,-2,1#45,-1,1	1	0	101	100677,2
1300191	1	7	7	0	1	4	1	11	0	0	40,1	1	0	101	100647,4
1300201	1	7	7	0	1	1	2	1	9	0	3,-2	1	0	101	100666,1
1300202	1	7	7	0	1	1	1	1	9	0	3,2	1	0	0	0
1300203	1	44	7	0	1	1	2	1	9	0	3,-2	1	0	0	100666,1
1300204	1	44	7	0	1	1	1	1	9	0	3,2	1	0	0	0
1300211	1	2	7	0	1	4	1	11	9	0	40,2	10	0	0	100670,4
1300221	1	45	7	0	1	3	1	4	1	0	21,190012	1	0	100	100647,4
1300231	1	27	7	0	1	5	3	2	10	4,1	41,1	1	1300232	101	100674,1
1300232	1	102	7	0	1	1	1	4	9	0	1,2#2,2	1	0	0	100647,4
1300241	1	24	7	0	1	13	1	11	9	0	46,190011	1	0	0	100647,4
1300242	1	3	7	0	1	13	1	11	9	0	46,330003	1	0	100	100647,4
1300271	1	7	7	0	1	1	1	4	0	0	1,1	1	0	101	100647,4
1300291	1	52	7	0	1	1	1	4	0	0	1,1#2,1	1	0	101	100647,4
1300311	1	6	7	0	1	1	1	1	0	0	3,-1	1	0	101	100666,1
1300321	1	2	7	0	1	6	1	8	8	22,2	4,1	1	0	0	100647,4
1300331	1	2	7	0	1	1	1	1	0	0	3,-2	1	1300332	0	100647,4
1300332	1	102	7	0	1	4	1	11	0	0	40,1	2	0	0	100664,1
1300351	1	47	7	0	1	1	2	1	0	0	3,-2	1	0	101	100666,1
1300361	1	2	7	0	4	2	2	11	0	0	0	1	1300362	0	0
1300362	1	101	7	0	1	1	1	4	0	0	1,-$#2,-$	1	0	0	100647,4
1300371	1	2	7	0	1	5	3	2	9	30,1#31,1#32,1#34,1#35,1	41,1	1	0	0	100677,2
1300381	1	25	7	0	1	4	3	11	9	4,1	40,2	1	0	101	100670,4
1300401	1	31	7	0	1	1	1	1	0	0	3,-3	1	1300402	1	100666,1
1300402	1	102	7	0	1	1	1	4	0	0	1,1#2,2	1	0	0	100670,4
1300411	1	7	7	0	1	1	1	1	9	0	3,-2	1	0	101	100666,1
1300412	1	44	7	0	1	1	1	1	9	0	3,-2	1	0	0	100666,1
1300413	1	3	7	0	1	10	1	4	0	0	39,1	1	0	0	0
1400001	1	2	7	0	1	1	3	3	8	0	3,-1	1	0	0	100558,1
1400021	1	25	7	0	1	6	1	4	0	0	4,1	1	0	101	100644,4
1400031	1	36	7	0	1	1	1	4	0	0	1,3,1	1	0	101	100594,4
1400032	1	37	7	0	2	1	1	4	0	0	1,3,1	1	0	0	100594,4
1400041	1	2	7	0	2	1	1	4	0	0	1,2,1	1	0	0	100594,4
1400051	1	3	7	0	1	11	2	1	9	0	34,-1	1	0	100	100583,1
1400071	1	1	7	0	3	10	1	4	0	0	17,2	1	0	10	0
1400081	1	11	7	0	1	1	1	4	0	0	1,2,1	1	0	101	100594,4
1400091	1	1	7	0	3	10	1	4	0	0	17,2	1	0	10	0
1400101	1	31	7	2	1	1	3	3	10	4,1	3,-2	1	1400102	1	0
1400102	1	102	7	0	1	1	1	4	0	0	3,-1	1	0	0	100583,1
1400111	1	30	7	0	1	1	3	2	8	21,1	3,-3	1	0	1	100586,1
1400121	1	33	7	0	1	1	2	2	9	0	3,-1	1	0	101	100609,2
1400131	1	2	7	0	1	1	3	2	8	0	3,-4	1	0	0	100570,1
1400141	1	30	7	0	1	1	3	3	8	21,1	3,-2	1	0	1	100555,1
1400151	1	42	7	0	1	1	2	1	9	0	3,-1	1	0	101	100525,1
1400161	1	2	7	0	1	1	3	1	9	0	3,-1	1	0	0	100525,1
1400171	1	36	7	0	1	1	1	2	9	1,1051	1,1,1	1	0	101	100594,3
1400172	1	37	7	0	2	1	1	2	9	1,1051	1,1,1	1	0	0	100594,3
1400181	1	33	7	0	1	1	1	4	0	0	1,1#2,1	1	0	101	100594,4
1400191	1	27	7	0	1	3	1	17	9	0	21,190010	1	0	101	100594,4
1400201	1	1	7	0	3	1	1	2	10	1,1051	1,1#2,1	1	0	101	0
1400202	1	1	7	0	3	10	1	2	10	1,1051	13,1	1	0	0	0
1400203	1	27	7	0	4	2	1	2	9	1,1051	0	1	1400204	0	0
1400204	1	101	7	0	1	1	2	3	9	4,1	3,-$	1	0	0	100555,1
1400211	1	27	7	0	1	1	3	3	10	4,1	3,-1	1	0	101	100576,1
1400221	1	2	7	0	1	1	3	3	10	0	3,-4	1	0	1	100574,1
1400222	1	31	7	4	1	1	3	3	10	0	3,-2	1	0	0	100574,1
1400251	1	3	7	0	1	1	2	1	0	0	3,-2	1	0	100	100520,1
1400271	1	54	7	0	1	1	1	4	0	0	1,1	1	0	101	100594,4
1400281	1	27	7	0	1	1	3	3	10	0	3,-1	1	0	0	100609,2
1400282	1	3	7	0	1	1	3	3	9	0	3,-1	1	0	100	100609,2
1400291	1	2	7	0	1	22	3	2	8	0	0	1	0	0	100594,1
1400301	1	31	7	1	1	1	1	4	0	0	1,1,1	1	0	1	100594,4
1400311	1	33	7	0	1	1	1	4	0	0	1,1	1	0	101	100594,4
1400321	1	36	7	0	1	1	2	1	0	0	3,-2	1	0	101	100555,1
1400322	1	37	7	0	1	1	2	1	0	0	3,-2	1	0	101	100555,1
1400341	1	30	7	0	1	4	1	11	9	0	40,1	1	1400342	1	100594,4
1400342	1	102	7	0	1	4	1	11	0	4,1	40,2	1	0	0	100664,5
1400351	1	10	7	0	1	1	1	4	0	0	1,1#2,1	1	0	101	100594,4
1400361	1	1	7	0	3	10	1	2	10	1,1051	11,1	1	0	0	0
1400371	1	30	7	0	1	1	3	3	8	0	47,1	1	0	1	100524,1
1400391	1	6	7	0	1	5	1	4	0	0	41,1	1	0	101	0
1400401	1	31	7	1	1	1	1	2	9	0	1,1,1	1	0	1	100594,3
1400411	1	27	7	0	1	1	1	4	0	0	1,2	1	0	101	100594,1
1400421	1	45	7	0	1	3	1	4	1	0	21,190016	1	0	100	100594,1
1500001	1	45	7	0	1	3	1	4	1	0	21,190004	1	0	100	100547,4
1500011	1	2	7	0	1	4	1	11	0	0	40,1	1	0	0	100547,4
1500021	1	2	7	0	1	11	1	1	9	0	34,1	1	0	100	100547,4
1500022	1	3	7	0	1	11	1	1	9	0	34,-1	1	0	100	0
1500031	1	27	7	0	1	1	1	2	9	4,1	1,1,1#2,1,1	1	0	101	100643,1
1500051	1	16	7	0	1	1	1	4	0	0	1,2,1#2,2,1	1	0	101	100547,4
1500071	1	1	7	0	3	1	1	4	0	0	6,1	1	0	3	0
1500141	1	2	7	0	1	1	1	1	0	0	3,6	1	0	0	100547,4
1500142	1	3	7	0	1	1	1	1	0	0	3,6	1	0	100	0
1500181	1	30	7	2	1	1	1	4	0	0	1,1#2,1	1	0	1	100547,4
1500191	1	30	7	4	1	5	1	2	8	21,1	41,1	1	1500192	1	100552,1
1500192	1	102	7	0	1	3	1	7	1	0	21,190006	1	0	0	0
1500201	1	13	7	0	1	2	1	18	10	35,1	0	1	1500202	101	0
1500202	1	102	7	0	1	1	1	4	9	0	1,1#2,1	1	0	0	100643,4
1500211	1	30	7	0	1	1	3	2	8	0	1,3,1#2,3,1	1	0	1	100643,1
1500221	1	1	7	0	3	1	1	2	10	1,1010	1,1#2,1	1	0	0	0
1500222	1	1	7	0	3	10	1	2	10	1,1010	14,1	1	0	0	0
1500223	1	1	7	0	3	1	1	2	10	1,1004	1,1#2,1	1	0	0	0
1500224	1	1	7	0	3	10	1	2	10	1,1004	14,1	1	0	0	0
1500231	1	6	7	0	1	1	1	4	0	0	3,1	1	0	101	100534,1
1500241	1	2	7	0	1	5	3	15	9	0	0	1	1500242	0	100589,3
1500242	1	101	7	0	1	1	1	4	9	0	1,$#2,$	1	0	0	100643,4
1500251	1	2	7	0	1	5	3	15	8	0	41,1	1	0	0	100566,1
1500261	1	6	7	0	1	1	1	4	0	0	1,1#2,1	1	0	101	100643,4
1500271	1	18	7	0	1	1	1	2	10	0	1,1#2,1	1	0	101	100643,3
1500281	1	30	7	3	1	1	3	3	8	0	3,-1	1	0	1	100564,1
1500291	1	2	7	0	1	3	1	7	8	17,1	21,190004	1	0	0	100591,4
1500301	1	2	7	0	4	2	1	2	9	1,1010	0	1	1500302	0	100643,4
1500302	1	101	7	0	1	1	1	4	0	0	1,$#2,$	1	0	0	0
1500331	1	1	7	0	3	1	1	4	0	0	6,3	1	0	3	0
1500341	1	30	7	0	4	2	1	2	9	1,1004	0	1	1500342	1	0
1500342	1	101	7	0	1	1	1	1	0	0	3,$	1	0	0	100534,4
1500351	1	30	7	4	1	11	1	1	9	0	34,1	1	1	1	100591,4
1500361	1	30	7	0	1	6	1	8	8	22,2	4,18	1	0	1	0
1500371	1	2	7	0	1	2	1	6	12	0	0	1	1500372	0	100591,4
1500372	1	102	7	0	0	6	1	6	9	0	4,6	1	0	0	0
1500381	1	31	7	2	1	1	3	2	9	8,8	3,-2	1	0	1	100609,2
1500391	1	2	7	0	1	3	1	7	9	0	21,190009	4	0	0	100591,4
1500401	1	2	7	0	1	1	1	2	9	4,1	1,1#2,1	1	0	0	100643,1
1500421	1	2	7	0	2	10	3	2	8	0	14,1,1	1	0	0	100643,1
1500431	1	2	7	0	1	11	1	1	9	0	34,-1	1	0	0	100583,1
1500441	1	3	7	0	1	4	1	11	0	0	40,1	1	0	100	100547,4
1500451	1	30	7	7	1	1	1	4	0	0	22,150046	1	0	1	100547,4
1500481	1	2	7	0	1	1	3	2	8	0	1,2,1#2,2,1	1	1500482	0	100547,1
1500482	1	102	7	0	1	1	1	4	0	0	1,2,1#2,2,1	1	0	0	100547,4
1500491	1	2	7	0	1	13	1	11	9	0	46,190004	1	0	0	100547,4
1500492	1	31	7	2	1	4	1	11	0	0	40,1	1	1500493	1	100547,4
1500493	1	102	7	1	1	5	1	4	9	0	41,1	1	0	0	0
1500501	1	13	7	0	1	2	1	18	10	1,1009	0	1	1500502	101	0
1500502	1	31	7	2	1	4	1	11	0	0	40,1	1	0	0	100547,4
1900061	1	30	7	4	1	5	1	2	8	0	41,1	1	1900062	1	100552,1
1900062	0	102	7	0	1	3	1	7	1	0	21,190006	1	0	0	0
1900101	1	6	7	0	1	5	1	4	0	0	41,1	1	0	101	0
1900121	1	45	7	0	1	3	1	4	1	0	21,190013	1	0	100	0
1900141	1	1	7	0	3	1	1	4	0	0	6,7	1	0	3	0
1900161	1	31	7	1	1	1	1	4	0	0	1,1,1	1	0	1	100594,4
1900211	1	27	7	0	1	1	2	1	0	0	3,-1	1	0	0	100524,1
1900212	1	3	7	0	1	1	1	1	0	0	3,-30	1	0	100	100291,6
1900221	1	27	7	0	1	1	2	2	0	4,1	3,-1	1	0	0	100520,1
1900231	1	10	7	0	1	21	3	9	9	4,1	0	1	0	101	100546,4
1900251	1	27	7	0	1	10	1	2	9	4,1	8,1,1	1	0	101	100653,1
1900261	1	30	7	0	1	1	1	2	8	9,1	3,1	1	0	1	100569,1
1900271	1	1	7	0	3	1	1	4	0	0	6,1	1	0	3	0
1900281	1	27	7	0	1	1	1	1	0	0	3,7	1	0	101	100569,4
2000001	1	25	7	0	1	4	3	11	9	0	40,1	1	0	0	100664,1
2100031	1	6	7	0	1	1	1	2	2	0	3,1	1	0	0	0
2100041	1	27	7	0	1	3	1	7	9	0	21,190000	1	0	0	0
2100051	1	1	7	0	3	1	1	2	9	31,1	1,1#2,1	1	0	0	0
2100061	1	1	7	0	3	1	1	2	2	0	6,2	1	0	0	0
2100071	1	16	7	0	1	1	1	2	2	0	1,-4,1#2,4,1	1	0	0	100645,4
2200001	1	33	7	0	1	4	1	11	0	0	40,1	1	0	0	100546,4
2200011	1	43	7	0	1	4	1	11	0	0	40,1	1	0	0	100664,1
2200021	1	1	7	0	3	10	1	2	9	0	8,1	1	0	0	0
2200031	1	11	7	0	3	1	1	2	9	8,8	1,1	1	0	0	0
2200051	1	5	7	0	1	6	2	6	9	0	4,3	3	0	0	0
2300011	1	27	7	0	1	1	1	2	2	0	3,-2	1	0	0	100037,1
2300031	1	1	7	0	3	1	3	2	9	1,1020	1,1#2,1	1	0	0	0
2300032	1	44	7	0	1	3	1	7	9	0	21,190015	1	0	0	0
2300041	1	43	7	0	1	1	2	1	0	0	3,-1	1	0	0	100666,1
2300042	1	43	7	0	1	1	1	1	0	0	3,1	1	0	0	0
2400001	1	11	7	0	2	1	1	2	2	0	1,2,1	1	0	0	0
2400002	1	11	7	0	2	10	1	2	2	0	12,1,1	1	0	0	0
2400021	1	43	7	0	1	1	2	2	9	0	3,-1	1	0	0	100561,2
