id	 exist 	buy	costup	costdown	buy_min	inventory 	update_day	update_hour	update_amount	0	0	0
120003	1	1000	50	50	300	50	0	12,23	5	0	0	0
120004	1	1000	50	50	300	50	0	12,23	5	0	0	0
120005	1	1000	50	50	300	50	0	12,23	5	0	0	0
120006	1	1000	50	50	300	50	0	12,23	5	0	0	0
120007	1	1000	50	50	300	50	0	12,23	5	0	0	0
120008	1	1000	50	50	300	50	0	12,23	5	0	0	0
120009	1	1000	50	50	300	50	0	12,23	5	0	0	0
120010	1	1000	50	50	300	50	0	12,23	5	0	0	0
120011	1	1000	50	50	300	50	0	12,23	5	0	0	0
120012	1	1000	50	50	300	50	0	12,23	5	0	0	0
120013	1	1000	50	50	300	50	0	12,23	5	0	0	0
120014	1	1000	50	50	300	50	0	12,23	5	0	0	0
120015	1	1000	50	50	300	50	0	12,23	5	0	0	0
120016	1	1000	50	50	300	50	0	12,23	5	0	0	0
120017	1	1000	50	50	300	50	0	12,23	5	0	0	0
130000	1	1000	50	50	300	50	0	12,23	5	0	0	0
130001	1	1000	50	50	300	50	0	12,23	5	0	0	0
130002	1	1000	50	50	300	50	0	12,23	5	0	0	0
130003	1	1000	50	50	300	50	0	12,23	5	0	0	0
130004	1	1000	50	50	300	50	0	12,23	5	0	0	0
130005	1	1000	50	50	300	50	0	12,23	5	0	0	0
130006	1	1000	50	50	300	50	0	12,23	5	0	0	0
130007	1	1000	50	50	300	50	0	12,23	5	0	0	0
130008	1	1000	50	50	300	50	0	12,23	5	0	0	0
130009	1	1000	50	50	300	50	0	12,23	5	0	0	0
130010	1	1000	50	50	300	50	0	12,23	5	0	0	0
130011	1	1000	50	50	300	50	0	12,23	5	0	0	0
130012	1	1000	50	50	300	50	0	12,23	5	0	0	0
130013	1	1000	50	50	300	50	0	12,23	5	0	0	0
130014	1	1000	50	50	300	50	0	12,23	5	0	0	0
130015	1	1000	50	50	300	50	0	12,23	5	0	0	0
130016	1	1000	50	50	300	50	0	12,23	5	0	0	0
130017	1	1000	50	50	300	50	0	12,23	5	0	0	0
130018	1	1000	50	50	300	50	0	12,23	5	0	0	0
130019	1	1000	50	50	300	50	0	12,23	5	0	0	0
130020	1	1000	50	50	300	50	0	12,23	5	0	0	0
130021	1	1000	50	50	300	50	0	12,23	5	0	0	0
130022	1	1000	50	50	300	50	0	12,23	5	0	0	0
130023	1	1000	50	50	300	50	0	12,23	5	0	0	0
130024	1	1000	50	50	300	50	0	12,23	5	0	0	0
130025	1	1000	50	50	300	50	0	12,23	5	0	0	0
140000	1	1000	50	50	300	50	0	12,23	5	0	0	0
140001	1	1000	50	50	300	50	0	12,23	5	0	0	0
140002	1	1000	50	50	300	50	0	12,23	5	0	0	0
140003	1	1000	50	50	300	50	0	12,23	5	0	0	0
140004	1	1000	50	50	300	50	0	12,23	5	0	0	0
140005	1	1000	50	50	300	50	0	12,23	5	0	0	0
140006	1	1000	50	50	300	50	0	12,23	5	0	0	0
140007	1	1000	50	50	300	50	0	12,23	5	0	0	0
140008	1	1000	50	50	300	50	0	12,23	5	0	0	0
140009	1	1000	50	50	300	50	0	12,23	5	0	0	0
140010	1	1000	50	50	300	50	0	12,23	5	0	0	0
140011	1	1000	50	50	300	50	0	12,23	5	0	0	0
140012	1	1000	50	50	300	50	0	12,23	5	0	0	0
140013	1	1000	50	50	300	50	0	12,23	5	0	0	0
140014	1	1000	50	50	300	50	0	12,23	5	0	0	0
140015	1	1000	50	50	300	50	0	12,23	5	0	0	0
140016	1	1000	50	50	300	50	0	12,23	5	0	0	0
140017	1	1000	50	50	300	50	0	12,23	5	0	0	0
140018	1	1000	50	50	300	50	0	12,23	5	0	0	0
140019	1	1000	50	50	300	50	0	12,23	5	0	0	0
140020	1	1000	50	50	300	50	0	12,23	5	0	0	0
140021	1	1000	50	50	300	50	0	12,23	5	0	0	0
140022	1	1000	50	50	300	50	0	12,23	5	0	0	0
150000	1	1000	50	50	300	50	0	12,23	5	0	0	0
150001	1	1000	50	50	300	50	0	12,23	5	0	0	0
150002	1	1000	50	50	300	50	0	12,23	5	0	0	0
150003	1	1000	50	50	300	50	0	12,23	5	0	0	0
150004	1	1000	50	50	300	50	0	12,23	5	0	0	0
150005	1	1000	50	50	300	50	0	12,23	5	0	0	0
150006	1	1000	50	50	300	50	0	12,23	5	0	0	0
150007	1	1000	50	50	300	50	0	12,23	5	0	0	0
150008	1	1000	50	50	300	50	0	12,23	5	0	0	0
150009	1	1000	50	50	300	50	0	12,23	5	0	0	0
150010	1	1000	50	50	300	50	0	12,23	5	0	0	0
150011	1	1000	50	50	300	50	0	12,23	5	0	0	0
150012	1	1000	50	50	300	50	0	12,23	5	0	0	0
150013	1	1000	50	50	300	50	0	12,23	5	0	0	0
150014	1	1000	50	50	300	50	0	12,23	5	0	0	0
150015	1	1000	50	50	300	50	0	12,23	5	0	0	0
150016	1	1000	50	50	300	50	0	12,23	5	0	0	0
150017	1	1000	50	50	300	50	0	12,23	5	0	0	0
150018	1	1000	50	50	300	50	0	12,23	5	0	0	0
150019	1	1000	50	50	300	50	0	12,23	5	0	0	0
150020	1	1000	50	50	300	50	0	12,23	5	0	0	0
150021	1	1000	50	50	300	50	0	12,23	5	0	0	0
150022	1	1000	50	50	300	50	0	12,23	5	0	0	0
150023	1	1000	50	50	300	50	0	12,23	5	0	0	0
150024	1	1000	50	50	300	50	0	12,23	5	0	0	0
150025	1	1000	50	50	300	50	0	12,23	5	0	0	0
150026	1	1000	50	50	300	50	0	12,23	5	0	0	0
150027	1	1000	50	50	300	50	0	12,23	5	0	0	0
150028	1	1000	50	50	300	50	0	12,23	5	0	0	0
210000	1	1000	50	50	300	50	0	12,23	5	0	0	0
210001	1	1000	50	50	300	50	0	12,23	5	0	0	0
210002	1	1000	50	50	300	50	0	12,23	5	0	0	0
210003	1	1000	50	50	300	50	0	12,23	5	0	0	0
210004	1	1000	50	50	300	50	0	12,23	5	0	0	0
210005	1	1000	50	50	300	50	0	12,23	5	0	0	0
220000	1	1000	50	50	300	50	0	12,23	5	0	0	0
220001	1	1000	50	50	300	50	0	12,23	5	0	0	0
220002	1	1000	50	50	300	50	0	12,23	5	0	0	0
220003	1	1000	50	50	300	50	0	12,23	5	0	0	0
220004	1	1000	50	50	300	50	0	12,23	5	0	0	0
220005	1	1000	50	50	300	50	0	12,23	5	0	0	0
230000	1	1000	50	50	300	50	0	12,23	5	0	0	0
230001	1	1000	50	50	300	50	0	12,23	5	0	0	0
230002	1	1000	50	50	300	50	0	12,23	5	0	0	0
240000	1	1000	50	50	300	50	0	12,23	5	0	0	0
240001	1	1000	50	50	300	50	0	12,23	5	0	0	0
250000	1	1000	50	50	300	50	0	12,23	5	0	0	0
250001	1	1000	50	50	300	50	0	12,23	5	0	0	0
250002	1	1000	50	50	300	50	0	12,23	5	0	0	0
310000	1	1000	50	50	300	50	0	12,23	5	0	0	0
310001	1	1000	50	50	300	50	0	12,23	5	0	0	0
310002	1	1000	50	50	300	50	0	12,23	5	0	0	0
310003	1	1000	50	50	300	50	0	12,23	5	0	0	0
320000	1	1000	50	50	300	50	0	12,23	5	0	0	0
320001	1	1000	50	50	300	50	0	12,23	5	0	0	0
320002	1	1000	50	50	300	50	0	12,23	5	0	0	0
320003	1	1000	50	50	300	50	0	12,23	5	0	0	0
320004	1	1000	50	50	300	50	0	12,23	5	0	0	0
320005	1	1000	50	50	300	50	0	12,23	5	0	0	0
320006	1	1000	50	50	300	50	0	12,23	5	0	0	0
320007	1	1000	50	50	300	50	0	12,23	5	0	0	0
320008	1	1000	50	50	0	50	0	12,23	5	0	0	0
330000	1	1000	50	50	0	50	0	12,23	5	0	0	0
330001	1	1000	50	50	0	50	0	12,23	5	0	0	0
330002	1	1000	50	50	0	50	0	12,23	5	0	0	0
330003	1	1000	50	50	0	50	0	12,23	5	0	0	0
330004	1	1000	50	50	0	50	0	12,23	5	0	0	0
330005	1	1000	50	50	0	50	0	12,23	5	0	0	0
330006	1	1000	50	50	0	50	0	12,23	5	0	0	0
330007	1	1000	50	50	0	50	0	12,23	5	0	0	0
330008	1	1000	50	50	0	50	0	12,23	5	0	0	0
330009	1	1000	50	50	0	50	0	12,23	5	0	0	0
340000	1	1000	50	50	0	50	0	12,23	5	0	0	0
340001	1	1000	50	50	0	50	0	12,23	5	0	0	0
340002	1	1000	50	50	0	50	0	12,23	5	0	0	0
340003	1	1000	50	50	0	50	0	12,23	5	0	0	0
340004	1	1000	50	50	0	50	0	12,23	5	0	0	0
340005	1	1000	50	50	0	50	0	12,23	5	0	0	0
340006	1	1000	50	50	0	50	0	12,23	5	0	0	0
340007	1	1000	50	50	0	50	0	12,23	5	0	0	0
340008	1	1000	50	50	0	50	0	12,23	5	0	0	0
340009	1	1000	50	50	0	50	0	12,23	5	0	0	0
350000	1	1000	50	50	0	50	0	12,23	5	0	0	0
350001	1	1000	50	50	0	50	0	12,23	5	0	0	0
350002	1	1000	50	50	0	50	0	12,23	5	0	0	0
350003	1	1000	50	50	0	50	0	12,23	5	0	0	0
350004	1	1000	50	50	0	50	0	12,23	5	0	0	0
410000	1	1000	50	50	0	50	0	12,23	5	0	0	0
410001	1	1000	50	50	0	50	0	12,23	5	0	0	0
410002	1	1000	50	50	0	50	0	12,23	5	0	0	0
410003	1	1000	50	50	0	50	0	12,23	5	0	0	0
410004	1	1000	50	50	0	50	0	12,23	5	0	0	0
410005	1	1000	50	50	0	50	0	12,23	5	0	0	0
410006	1	1000	50	50	0	50	0	12,23	5	0	0	0
410007	1	1000	50	50	0	50	0	12,23	5	0	0	0
410008	1	1000	50	50	0	50	0	12,23	5	0	0	0
420000	1	1000	50	50	0	50	0	12,23	5	0	0	0
420001	1	1000	50	50	0	50	0	12,23	5	0	0	0
420002	1	1000	50	50	0	50	0	12,23	5	0	0	0
420003	1	1000	50	50	0	50	0	12,23	5	0	0	0
420004	1	1000	50	50	0	50	0	12,23	5	0	0	0
420005	1	1000	50	50	0	50	0	12,23	5	0	0	0
420006	1	1000	50	50	0	50	0	12,23	5	0	0	0
420007	1	1000	50	50	0	50	0	12,23	5	0	0	0
430000	1	1000	50	50	0	50	0	12,23	5	0	0	0
430001	1	1000	50	50	0	50	0	12,23	5	0	0	0
440000	1	1000	50	50	0	50	0	12,23	5	0	0	0
440001	1	1000	50	50	0	50	0	12,23	5	0	0	0
440002	1	1000	50	50	0	50	0	12,23	5	0	0	0
440003	1	1000	50	50	0	50	0	12,23	5	0	0	0
440004	1	1000	50	50	0	50	0	12,23	5	0	0	0
440005	1	1000	50	50	0	50	0	12,23	5	0	0	0
450000	1	1000	50	50	0	50	0	12,23	5	0	0	0
450001	1	1000	50	50	0	50	0	12,23	5	0	0	0
450002	1	1000	50	50	0	50	0	12,23	5	0	0	0
450003	1	1000	50	50	0	50	0	12,23	5	0	0	0
450004	1	1000	50	50	0	50	0	12,23	5	0	0	0
