id	text	shape	model	effect	blink	race1	race2	race3	type	version	qlt	cost	atk	health	class1	class2	team	finity	skill_id	keyword	position	usephase
110021	110021	103	50030	0	0	1	1	0	1	1	4	6	5	5	1026		110021	4	110021	22,20	11	1
110022	110022	104	50039	0	0	1	1	0	1	1	3	6	3	4	1000	1032	110022	4	110022	19,12	11	1
110023	110023	103	50032	0	0	1	1	0	1	1	3	7	4	6	1021		110023	4	110023	22	11	1
110024	110024	104	50033	0	0	1	1	0	1	1	4	7	0	5	1030		110024	4	110024	12,13	11	1
110025	110025	100	50034	0	0	1	1	1	1	1	3	8	5	6	1026		110025	4	110025	22,21,12	11	3
110026	110026	100	50035	0	0	1	1	1	1	1	3	9	5	6	1026		110026	4	110026	19	11	1
110027	110027	100	50036	0	0	1	1	1	1	1	4	4	2	2	1000	1034	110026	4	110027	9,26	11	1
120000	120000	200	50030	0	0	2	0	0	1	3	1	1	1	1	1024		120000	4	120000	22	11	1
120001	120001	200	50030	0	0	2	0	0	1	3	1	2	1	3	1025		120001	4	120001	13	11	1
120002	120002	200	50030	0	0	2	0	0	1	3	1	2	2	4	1030		120002	4	120002	41,18	11	1
120003	120003	200	50030	0	0	2	0	0	1	3	1	2	1	2	1024		120003	4	120003	22,13	11	1
120004	120004	201	50030	0	0	2	0	0	1	3	1	3	2	3	1001	1035	120004	4	120004	41,12	11	1
120005	120005	201	50030	0	0	2	2	0	1	3	1	3	2	2	1003	1035	120005	4	120005	12	11	1
120006	120006	201	50030	0	0	2	0	0	1	3	1	3	1	3	1003	1035	120006	4	120006	24	11	1
120007	120007	200	50030	0	0	2	2	0	1	3	2	3	3	2	1024		120007	4	120007	22,26	11	1
120008	120008	200	50030	0	0	2	2	0	1	3	2	3	0	7	1023		120008	4	120008	36,41	11	1
120009	120009	200	50030	0	0	2	0	0	1	3	1	4	2	3	1013		120009	4	120009	21,22	11	3
120010	120010	201	50030	0	0	2	0	0	1	3	2	4	1	4	1003	1035	120010	4	120010	11	11	1
120011	120011	200	50030	0	0	2	2	0	1	3	1	5	3	4	1013		120011	4	120011	22,26	11	1
120012	120012	200	50030	0	0	2	2	0	1	3	2	5	4	5	1009		120012	4	120012	26	11	1
120013	120013	201	50030	0	0	2	2	0	1	3	3	6	5	6	1016		120013	4	120013	22,27,26	11	1
120014	120014	201	50030	0	0	2	2	2	1	3	3	4	1	5	1022		120017	4	120014	0	11	1
120015	120015	201	50030	0	0	2	2	0	1	3	4	5	2	4	1016		120015	4	120015	21,27	11	1
120016	120016	200	50030	0	0	2	2	2	1	3	3	8	8	8	1014		120016	4	120016	22	11	1
120017	120017	201	50030	0	0	2	2	0	1	3	4	4	1	1	1003	1035	120017	4	120017	9,12,31	11	1
130000	130000	301	50030	0	0	3	0	0	1	2	1	1	1	1	1047	1020	130000	4	130000	13	11	1
130001	130001	301	50030	0	0	3	0	0	1	2	2	2	2	1	1000		130001	4	130001	30	11	1
130002	130002	301	50030	0	0	3	0	0	1	2	1	1	3	2	1009		130002	4	130002	12	11	1
130003	130003	301	50030	0	0	3	3	0	1	2	2	3	2	2	1043	1044	130003	4	130003	0	11	1
130004	130004	301	50030	0	0	3	3	0	1	2	1	3	2	2	1043		130004	4	130004	13	11	1
130005	130005	300	50030	0	0	3	0	0	1	2	1	3	1	4	1043	1039	130005	4	130005	29	11	1
130006	130006	300	50030	0	0	3	3	0	1	2	1	3	3	1	1043	1044	130006	4	130006	13	11	1
130007	130007	300	50030	0	0	3	0	0	1	2	1	3	2	3	1043	1040	130007	4	130007	11	11	1
130008	130008	301	50030	0	0	3	3	0	1	2	1	3	3	1	1047	1019	130008	4	130008	0	11	1
130009	130009	301	50030	0	0	3	3	0	1	2	2	3	2	2	1047	1017	130009	4	130009	13	11	1
130010	130010	300	50030	0	0	3	3	3	1	2	2	3	2	4	1043	1039	130010	4	130010	19,29	11	1
130011	130011	300	50030	0	0	3	0	0	1	2	1	4	5	2	1043	1038	130011	4	130011	0	11	1
130012	130012	300	50030	0	0	3	3	0	1	2	2	4	3	3	1043	1039	130012	4	130012	13	11	1
130013	130013	301	50030	0	0	3	3	0	1	2	2	5	4	2	1047	1020	130013	4	130013	19,13	11	1
130014	130014	301	50030	0	0	3	0	0	1	2	1	4	2	2	1047		130014	4	130014	22,13	11	1
130015	130015	301	50030	0	0	3	3	0	1	2	2	6	3	6	1047	1020	130015	4	130015	22,30	11	1
130016	130016	300	50030	0	0	3	0	0	1	2	1	6	5	6	1009		130016	4	130016	0	11	1
130017	130017	301	50030	0	0	3	3	0	1	2	3	3	2	3	1043	1044	130017	4	130017	25	11	1
130018	130018	300	50030	0	0	3	3	3	1	2	3	6	6	6	1043	1038	130018	4	130018	0	11	1
130019	130019	300	50030	0	0	3	0	0	1	2	3	3	2	2	1043	1044	130019	4	130019	0	11	1
130020	130020	300	50030	0	0	3	3	3	1	2	3	7	4	5	1047		130020	4	130020	12	11	1
130021	130021	301	50030	0	0	3	3	0	1	2	3	9	8	8	1047		130021	4	130021	42	11	1
130022	130022	301	50030	0	0	3	3	0	1	2	3	3	2	2	1047	1020	130022	4	130022	22,30	11	1
130023	130023	300	50030	0	0	3	3	3	1	2	4	7	5	5	1009		130023	4	130023	0	11	1
130024	130024	301	50030	0	0	3	3	3	1	2	4	6	6	5	1047		130024	4	130024	42	11	1
130025	130025	301	50030	0	0	3	3	3	1	2	4	5	3	5	1047		130025	4	130025	9	11	1
140000	140000	400	50041	0	0	4	0	0	1	1	1	2	1	1	1007	1040	140000	4	140000	12	11	1
140001	140001	400	50042	0	0	4	0	0	1	1	1	1	1	1	1007	1032	140001	4	140001	32	31	1
140002	140002	400	50043	0	0	4	0	0	1	1	1	2	1	2	1007	1032	140002	4	140002	32,31	31	1
140003	140003	400	50044	0	0	4	0	0	1	1	1	2	1	2	1006	1041	140003	4	140003	0	11	1
140004	140004	400	50045	0	0	4	0	0	1	1	1	3	2	1	1006	1038	140004	4	140004	32,12	31	1
140005	140005	400	50046	0	0	4	0	0	1	1	1	3	3	1	1007	1038	140005	4	140005	12	11	1
140006	140006	400	50047	0	0	4	0	0	1	1	1	4	3	4	1015		140006	4	140006	33	11	1
140007	140007	400	50048	0	0	4	4	0	1	1	1	5	5	4	1015		140007	4	140007	23	11	1
140008	140008	400	50049	0	0	4	4	0	1	1	1	5	4	3	1007	1032	140008	4	140008	23	11	1
140009	140009	400	50050	0	0	4	4	0	1	1	2	6	4	4	1014		140009	4	140009	22,34	11	1
140010	140010	400	50052	0	0	4	4	0	1	1	2	3	1	4	1015		140010	4	140010	0	11	1
140011	140011	400	50051	0	0	4	4	0	1	1	2	6	6	4	1011		140011	4	140011	18,11	11	1
140012	140012	400	50053	0	0	4	4	0	1	1	2	6	4	4	1014		140012	4	140012	22	11	1
140013	140013	400	50054	0	0	4	0	0	1	1	2	4	4	2	1015		140013	4	140013	12	11	1
140014	140014	400	50055	0	0	4	0	0	1	1	3	7	6	6	1031		140014	4	140014	23	11	1
140015	140015	400	50056	0	0	4	4	0	1	1	3	4	3	3	1027	1038	140015	4	140015	32	31	1
140016	140016	400	50057	0	0	4	4	4	1	1	3	3	6	1	1043	1038	140016	4	140016	32,19	31	1
140017	140017	400	50058	0	0	4	4	0	1	1	3	4	2	2	1043	1044	140017	4	140017	23	11	1
140018	140018	400	50059	0	0	4	4	0	1	1	3	3	1	1	1043	1038	140018	4	140018	35	11	1
140019	140019	400	50060	0	0	4	0	0	1	1	3	4	3	2	1043	1044	140019	4	140019	23,11	11	1
140020	140020	400	50063	0	0	4	4	4	1	1	4	7	5	5	1043	1044	140020	4	140020	18,11	11	1
140021	140021	400	50062	0	0	4	0	0	1	1	2	3	1	1	1007		140021	4	140021	0	11	1
140022	140022	400	50061	0	0	4	4	0	1	1	4	7	4	4	1030	1025	140022	4	140022	9,19	11	1
150000	150000	500	50065	0	0	5	0	0	1	1	1	3	2	2	1010	1042	150000	4	150000	13	11	1
150001	150001	500	50066	0	0	5	0	0	1	1	1	2	1	2	1004	1038	150001	4	150001	12	11	1
150002	150002	500	50067	0	0	5	0	0	1	1	1	2	2	1	1004	1042	150002	4	150002	0	11	1
150003	150003	500	50068	0	0	5	0	0	1	1	1	2	2	2	1004	1042	150003	4	150003	13	11	1
150004	150004	500	50069	0	0	5	0	0	1	1	1	3	1	5	1004	1040	150004	4	150004	36	11	1
150005	150005	500	50070	0	0	5	0	0	1	1	1	3	2	2	1004	1038	150005	4	150005	0	11	1
150006	150006	500	50071	0	0	5	5	0	1	1	1	2	2	1	1004	1040	150006	4	150006	36	11	1
150007	150007	500	50072	0	0	5	5	0	1	1	1	4	4	3	1013		150007	4	150007	23	11	1
150008	150008	500	50073	0	0	5	5	0	1	1	1	4	3	5	1009		150008	4	150008	33	11	1
150009	150009	500	50074	0	0	5	0	0	1	1	1	4	5	3	1009		150009	4	150009	0	11	1
150010	150010	500	50075	0	0	5	0	0	1	1	1	5	4	5	1009		150010	4	150010	37	11	1
150011	150011	500	50076	0	0	5	0	0	1	1	1	5	5	5	1008		150011	4	150011	0	11	1
150012	150012	500	50077	0	0	5	0	0	1	1	1	6	5	7	1013		150012	4	150012	0	11	1
150013	150013	500	50078	0	0	5	5	0	1	1	2	4	1	2	1008		150013	4	150013	22,29	11	1
150014	150014	500	50079	0	0	5	5	5	1	1	2	7	7	7	1013		150014	4	150014	37,12	11	1
150015	150015	501	50080	0	0	5	5	0	1	1	2	6	6	7	1010	1038	150015	4	150015	36	11	1
150016	150016	500	50081	0	0	5	5	0	1	1	2	2	3	3	1009		150016	4	150016	0	11	1
150017	150017	500	50082	0	0	5	5	0	1	1	2	3	3	4	1009		150017	4	150017	21	11	3
150018	150018	501	50083	0	0	5	0	0	1	1	2	3	2	3	1010	1038	150018	4	150018	11	11	1
150019	150019	501	50084	0	0	5	5	0	1	1	3	4	4	4	1015		150019	4	150019	0	11	1
150020	150020	500	50085	0	0	5	5	0	1	1	3	2	1	1	1004	1038	150020	4	150020	0	11	1
150021	150021	500	50086	0	0	5	0	0	1	1	3	3	2	2	1004	1042	150021	4	150021	11	11	1
150022	150022	501	50087	0	0	5	5	0	1	1	3	4	3	3	1010	1038	150022	4	150022	18,37	11	3
150023	150023	501	50088	0	0	5	5	0	1	1	3	7	4	7	1010	1038	150023	4	150023	21,11	11	3
150024	150024	500	50089	0	0	5	5	0	1	1	3	6	2	2	1013		150024	4	150024	12	11	1
150025	150025	500	50090	0	0	5	5	0	1	1	3	5	2	7	1004	1040	150025	4	150025	11	11	1
150026	150026	500	50091	0	0	5	5	0	1	1	4	6	4	4	1009		150026	4	150026	0	11	1
150027	150027	501	50092	0	0	5	5	5	1	1	4	9	7	7	1010	1042	150027	4	150027	37,11	11	1
150028	150028	500	50093	0	0	5	5	0	1	1	4	3	1	2	1004	1040	150028	4	150028	9,27,29	11	1
160000	160000	104	50030	0	0	0	0	0	9	1	1	1	0	3			160000	0	160000	18,41	11	1
160001	160001	104	50030	0	0	0	0	0	9	1	1	2	1	3	1000	1032	160001	0	160001	18	11	1
190000	190000	104	50037	0	0	1	0	0	9	1	1	0	1	1	1000	1032	190000	0	190000	0	11	1
190001	190001	104	50012	0	0	1	0	0	9	1	1	0	1	3	1000	1032	190001	0	190001	0	11	1
190002	190002	104	50039	0	0	1	0	0	9	1	1	0	3	4	1000	1036	190002	0	190002	0	11	1
190003	190003	400	50064	0	0	4	0	0	9	1	1	0	3	1	1043	1038	190003	0	190003	32	11	1
190004	190004	501	50094	0	0	5	0	0	9	1	1	0	2	2	1010	1038	190004	0	190004	0	11	1
190005	190005	501	50069	0	0	5	0	0	9	1	1	0	1	5	1004	1040	190005	0	190005	36	11	1
190006	190006	501	50084	0	0	5	5	0	9	1	1	0	4	4	1010	1042	190006	0	190006	0	11	0
200000	200000	200000	0	0	0	0	0	0	2	1	3	4	0	0	2000		210000	4	200000	0	33	1
210000	210000	210000	0	0	0	1	0	0	2	1	1	1	1	2	2000		210000	4	210000	0	33	1
210001	210001	210001	0	0	0	1	0	0	2	1	1	4	2	4	2000		210001	4	210001	0	33	1
210002	210002	210002	0	0	0	1	1	0	2	1	1	4	2	2	2000		210002	4	210002	19	33	1
210003	210003	210003	0	0	0	1	1	0	2	1	2	2	0	1	2000		210003	4	210003	0	33	1
210004	210004	210004	0	0	0	1	1	0	2	1	2	3	1	1	2000		210004	4	210004	0	33	1
210005	210005	210005	0	0	0	1	1	0	2	1	3	2	0	0	2000		210005	4	210005	0	23	1
220000	220000	220000	0	0	0	2	0	0	2	3	1	3	0	3	2000		220000	4	220000	0	33	1
220001	220001	220001	0	0	0	2	0	0	2	3	1	2	1	1	2000		220001	4	220001	0	33	1
220002	220002	220002	0	0	0	2	2	0	2	3	2	4	1	0	2000		220002	4	220002	0	33	1
220003	220003	220003	0	0	0	2	0	0	2	3	2	2	0	0	2000		220003	4	220003	0	33	1
220004	220004	220004	0	0	0	2	2	0	2	3	2	3	1	1	2000		220004	4	220004	27	33	1
220005	220005	220005	0	0	0	2	2	0	2	3	3	4	0	0	2000		220005	4	220005	12	33	1
230000	230000	230000	0	0	0	3	0	0	2	2	1	1	2	1	2000		230000	4	230000	0	33	1
230001	230001	230001	0	0	0	3	0	0	2	2	1	1	3	1	2000		230001	4	230001	0	33	1
230002	230002	230002	0	0	0	3	3	0	2	2	3	6	1	0	2000		230002	4	230002	0	13	1
240000	240000	240000	0	0	0	4	0	0	2	1	1	1	0	0	2000		240000	4	240000	19	33	1
240001	240001	240001	0	0	0	4	4	0	2	1	3	2	1	0	2000		240001	4	240001	19,23	33	1
250000	250000	250000	0	0	0	5	0	0	2	1	1	3	3	3	2000		250000	4	250000	4	33	1
250001	250001	250001	0	0	0	5	0	0	2	1	1	3	1	2	2000		250001	4	250001	4,36	33	1
250002	250002	250002	0	0	0	5	5	0	2	1	3	4	0	0	2000		250002	4	250002	0	13	1
310000	310000	310000	0	0	0	1	1	0	3	1	1	3	0	0	2001		310000	4	310000	0	0	1
310001	310001	310001	0	0	0	1	1	0	3	1	1	4	0	0	2001		310001	4	310001	0	0	1
310002	310002	310002	0	0	0	1	1	1	3	1	3	6	0	0	2001		310002	4	310002	0	0	1
310003	310003	310003	0	0	0	1	1	0	3	1	3	7	0	0	2001		310003	4	310003	0	0	1
320000	320000	320000	0	0	0	2	0	0	3	3	1	3	0	0	2001		320000	4	320000	0	0	1
320001	320001	320001	0	0	0	2	2	0	3	3	1	3	0	0	2001		320001	4	320001	0	0	1
320002	320002	320002	0	0	0	2	0	0	3	3	1	3	0	0	2001		320002	4	320002	0	0	1
320003	320003	320003	0	0	0	2	0	0	3	3	2	3	0	0	2001		320003	4	320003	0	0	1
320004	320004	320004	0	0	0	2	2	0	3	3	2	2	0	0	2001		320004	4	320004	0	0	1
320005	320005	320005	0	0	0	2	2	0	3	3	3	6	0	0	2001		320005	4	320005	0	0	1
320006	320006	320006	0	0	0	2	2	0	3	3	3	9	0	0	2001		320006	4	320006	0	0	1
320007	320007	320007	0	0	0	2	0	0	3	3	3	4	0	0	2001		320007	4	320007	0	0	1
320008	320008	320008	0	0	0	2	2	2	3	3	4	5	0	0	2001		320008	4	320008	0	0	1
330000	330000	330000	0	0	0	3	0	0	3	2	1	3	0	0	2001		330000	4	330000	0	0	1
330001	330001	330001	0	0	0	3	0	0	3	2	1	4	0	0	2001		330001	4	330001	0	0	1
330002	330002	330002	0	0	0	3	3	0	3	2	1	2	0	0	2001		330002	4	330002	0	0	1
330003	330003	330003	0	0	0	3	0	0	3	2	1	2	0	0	2001		330003	4	330003	0	0	1
330004	330004	330004	0	0	0	3	0	0	3	2	1	5	0	0	2001		330004	4	330004	0	0	1
330005	330005	330005	0	0	0	3	3	0	3	2	2	3	0	0	2001		330005	4	330005	0	0	1
330006	330006	330006	0	0	0	3	0	0	3	2	2	1	0	0	2001		330006	4	330006	0	0	1
330007	330007	330007	0	0	0	3	3	0	3	2	2	4	0	0	2001		330007	4	330007	0	0	1
330008	330008	330008	0	0	0	3	0	0	3	2	2	3	0	0	2001		330008	4	330008	0	0	1
330009	330009	330009	0	0	0	3	0	0	3	2	3	6	0	0	2001		330009	4	330009	0	0	1
340000	340000	340000	0	0	0	4	0	0	3	1	1	1	0	0	2001		340000	4	340000	0	0	1
340001	340001	340001	0	0	0	4	4	0	3	1	1	5	0	0	2001		340001	4	340001	0	0	1
340002	340002	340002	0	0	0	4	0	0	3	1	1	3	0	0	2001		340002	4	340002	0	0	1
340003	340003	340003	0	0	0	4	0	0	3	1	1	1	0	0	2001		340003	4	340003	35	0	1
340004	340004	340004	0	0	0	4	0	0	3	1	1	3	0	0	2001		340004	4	340004	0	0	1
340005	340005	340005	0	0	0	4	4	0	3	1	2	2	0	0	2001		340005	4	340005	0	0	1
340006	340006	340006	0	0	0	4	0	0	3	1	2	3	0	0	2001		340006	4	340006	32	0	1
340007	340007	340007	0	0	0	4	0	0	3	1	2	2	0	0	2001		340007	4	340007	0	0	1
340008	340008	340008	0	0	0	4	4	4	3	1	2	6	0	0	2001		340008	4	340008	0	0	1
340009	340009	340009	0	0	0	4	4	0	3	1	3	3	0	0	2001		340009	4	340009	0	0	1
350000	350000	350000	0	0	0	5	0	0	3	1	1	2	0	0	2001		350000	4	350000	0	0	1
350001	350001	350001	0	0	0	5	0	0	3	1	1	2	0	0	2001		350001	4	350001	0	0	1
350002	350002	350002	0	0	0	5	5	5	3	1	2	5	0	0	2001		350002	4	350002	37	0	1
350003	350003	350003	0	0	0	5	0	0	3	1	2	2	0	0	2001		350003	4	350003	0	0	1
350004	350004	350004	0	0	0	5	5	0	3	1	2	4	0	0	2001		350004	4	350004	0	0	1
410000	410000	410000	0	0	0	1	0	0	4	1	1	2	0	0	2001	2002	410000	4	410000	0	0	3
410001	410001	410001	0	0	0	1	0	0	4	1	1	2	0	0	2001	2002	410001	4	410001	0	0	3
410002	410002	410002	0	0	0	1	0	0	4	1	1	4	0	0	2001	2002	410002	4	410002	0	0	3
410003	410003	410003	0	0	0	1	1	0	4	1	2	4	0	0	2001	2002	410003	4	410003	0	0	3
410004	410004	410004	0	0	0	1	1	0	4	1	2	3	0	0	2001	2002	410004	4	410004	0	0	3
410005	410005	410005	0	0	0	1	0	0	4	1	2	4	0	0	2001	2002	410005	4	410005	0	0	3
410006	410006	410006	0	0	0	1	1	0	4	1	2	2	0	0	2001	2002	410006	4	410006	11	0	3
410007	410007	410007	0	0	0	1	0	0	4	1	2	3	0	0	2001	2002	410007	4	410007	0	0	3
410008	410008	410008	0	0	0	1	1	0	4	1	3	3	0	0	2001	2002	410008	4	410008	0	0	3
420000	420000	420000	0	0	0	2	0	0	4	3	1	4	0	0	2001	2002	420000	4	420000	0	0	3
420001	420001	420001	0	0	0	2	2	0	4	3	1	3	0	0	2001	2002	420001	4	420001	0	0	3
420002	420002	420002	0	0	0	2	0	0	4	3	1	1	0	0	2001	2002	420002	4	420002	0	0	3
420003	420003	420003	0	0	0	2	0	0	4	3	1	4	0	0	2001	2002	420003	4	420003	0	0	3
420004	420004	420004	0	0	0	2	0	0	4	3	1	1	0	0	2001	2002	420004	4	420004	0	0	3
420005	420005	420005	0	0	0	2	0	0	4	3	1	1	0	0	2001	2002	420005	4	420005	27	0	2
420006	420006	420006	0	0	0	2	2	0	4	3	2	4	0	0	2001	2002	420006	4	420006	27	0	2
420007	420007	420007	0	0	0	2	2	0	4	3	3	7	0	0	2001	2002	420007	4	420007	0	0	3
430000	430000	430000	0	0	0	3	0	0	4	2	1	4	0	0	2001	2002	430000	4	430000	0	0	3
430001	430001	430001	0	0	0	3	0	0	4	2	2	2	0	0	2001	2002	430001	4	430001	0	0	3
440000	440000	440000	0	0	0	4	0	0	4	1	1	1	0	0	2001	2002	440000	4	440000	0	0	3
440001	440001	440001	0	0	0	4	0	0	4	1	1	2	0	0	2001	2002	440001	4	440001	0	0	3
440002	440002	440002	0	0	0	4	0	0	4	1	1	2	0	0	2001	2002	440002	4	440002	0	0	3
440003	440003	440003	0	0	0	4	0	0	4	1	1	1	0	0	2001	2002	440003	4	440003	0	0	3
440004	440004	440004	0	0	0	4	0	0	4	1	1	2	0	0	2001	2002	440004	4	440004	0	0	3
440005	440005	440005	0	0	0	4	0	0	4	1	2	3	0	0	2001	2002	440005	4	440005	0	0	3
450000	450000	450000	0	0	0	5	0	0	4	1	1	3	0	0	2001	2002	450000	4	450000	0	0	3
450001	450001	450001	0	0	0	5	0	0	4	1	1	1	0	0	2001	2002	450001	4	450001	0	0	3
450002	450002	450002	0	0	0	5	0	0	4	1	1	1	0	0	2001	2002	450002	4	450002	0	0	3
450003	450003	450003	0	0	0	5	0	0	4	1	1	2	0	0	2001	2002	450003	4	450003	0	0	3
450004	450004	450004	0	0	0	5	0	0	4	1	2	3	0	0	2001	2002	450004	4	450004	37	0	3
